GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AccountSystemDomain,za.ac.nwu.ac.domain.persistence,AccountType,166,0,14,0,34,0,23,0,16,0
AccountSystemDomain,za.ac.nwu.ac.domain.persistence,AccountTransaction,172,0,16,0,30,0,23,0,15,0
AccountSystemDomain,za.ac.nwu.ac.domain.dto,AccountTransactionDto,208,10,16,0,36,4,24,3,16,3
AccountSystemDomain,za.ac.nwu.ac.domain.dto,AccountTypeDto,149,0,12,0,29,0,20,0,14,0
AccountSystemDomain,za.ac.nwu.ac.domain.service,GeneralResponse,83,0,10,0,13,0,12,0,7,0
